#Data Set Export - Rainfall.Continuous@A64871M,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1954-05-06 00:00:00,0,200,5,
1954-05-07 00:00:00,0.51,200,5,
1954-05-09 00:00:00,0,200,5,
1954-05-10 00:00:00,0.51,200,5,
1954-05-11 00:00:00,18.8,200,5,
1954-05-16 00:00:00,0,200,5,
1954-05-17 00:00:00,4.32,200,5,
1954-05-18 00:00:00,88.39,200,5,
1954-05-19 00:00:00,16.76,200,5,
1954-05-20 00:00:00,53.59,200,5,
1954-05-21 00:00:00,20.07,200,5,
1954-05-22 00:00:00,2.29,200,5,
1954-05-23 00:00:00,15.24,200,5,
1954-05-24 00:00:00,4.06,200,5,
1954-05-31 00:00:00,0,200,5,
1954-06-01 00:00:00,0.51,200,5,
1954-06-05 00:00:00,0,200,5,
1954-06-06 00:00:00,1.02,200,5,
1954-06-07 00:00:00,23.62,200,5,
1954-06-08 00:00:00,1.52,200,5,
1954-06-09 00:00:00,1.52,200,5,
1954-06-10 00:00:00,2.79,200,5,
1954-06-11 00:00:00,0.51,200,5,
1954-06-12 00:00:00,6.35,200,5,
1954-06-13 00:00:00,13.21,200,5,
1954-06-14 00:00:00,9.65,200,5,
1954-06-15 00:00:00,2.29,200,5,
1954-06-16 00:00:00,0,200,5,
1954-06-17 00:00:00,13.21,200,5,
1954-06-18 00:00:00,1.78,200,5,
1954-06-19 00:00:00,5.33,200,5,
1954-06-20 00:00:00,0,200,5,
1954-06-21 00:00:00,1.52,200,5,
1954-06-22 00:00:00,1.27,200,5,
1954-06-23 00:00:00,0.51,200,5,
1954-06-24 00:00:00,0.76,200,5,
1954-06-25 00:00:00,1.02,200,5,
1954-06-26 00:00:00,0.25,200,5,
1954-06-27 00:00:00,9.14,200,5,
1954-06-30 00:00:00,0,200,5,
1954-07-01 00:00:00,0.51,200,5,
1954-07-02 00:00:00,0,200,5,
1954-07-03 00:00:00,2.03,200,5,
1954-07-04 00:00:00,1.78,200,5,
1954-07-05 00:00:00,0.51,200,5,
1954-07-06 00:00:00,0.25,200,5,
1954-07-07 00:00:00,3.05,200,5,
1954-07-08 00:00:00,16.51,200,5,
1954-07-09 00:00:00,5.59,200,5,
1954-07-10 00:00:00,11.68,200,5,
1954-07-15 00:00:00,0,200,5,
1954-07-16 00:00:00,13.46,200,5,
1954-07-17 00:00:00,2.54,200,5,
1954-07-18 00:00:00,0,200,5,
1954-07-19 00:00:00,0.51,200,5,
1954-07-20 00:00:00,3.56,200,5,
1954-07-21 00:00:00,4.83,200,5,
1954-07-22 00:00:00,11.68,200,5,
1954-07-23 00:00:00,0.51,200,5,
1954-07-24 00:00:00,0.51,200,5,
1954-07-25 00:00:00,7.11,200,5,
1954-07-26 00:00:00,0.51,200,5,
1954-07-27 00:00:00,9.14,200,5,
1954-07-28 00:00:00,0.25,200,5,
1954-07-29 00:00:00,0.51,200,5,
1954-07-30 00:00:00,0,200,5,
1954-07-31 00:00:00,3.3,200,5,
1954-08-01 00:00:00,3.05,200,5,
1954-08-04 00:00:00,0,200,5,
1954-08-05 00:00:00,2.03,200,5,
1954-08-06 00:00:00,2.54,200,5,
1954-08-11 00:00:00,0,200,5,
1954-08-12 00:00:00,9.14,200,5,
1954-08-13 00:00:00,11.43,200,5,
1954-08-14 00:00:00,9.91,200,5,
1954-08-15 00:00:00,23.37,200,5,
1954-08-16 00:00:00,6.6,200,5,
1954-08-17 00:00:00,1.02,200,5,
1954-08-18 00:00:00,0,200,5,
1954-08-19 00:00:00,0.76,200,5,
1954-08-20 00:00:00,0,200,5,
1954-08-21 00:00:00,0.51,200,5,
1954-08-22 00:00:00,0,200,5,
1954-08-23 00:00:00,1.02,200,5,
1954-08-24 00:00:00,18.29,200,5,
1954-08-25 00:00:00,1.02,200,5,
1954-08-26 00:00:00,1.02,200,5,
1954-08-27 00:00:00,9.65,200,5,
1954-08-28 00:00:00,3.81,200,5,
1954-08-29 00:00:00,0.76,200,5,
1954-08-30 00:00:00,0.76,200,5,
1954-08-31 00:00:00,0.76,200,5,
1954-09-01 00:00:00,6.6,200,5,
1954-09-06 00:00:00,0,200,5,
1954-09-07 00:00:00,28.45,200,5,
1954-09-08 00:00:00,0.25,200,5,
1954-09-12 00:00:00,0,200,5,
1954-09-13 00:00:00,46.23,200,5,
1954-09-14 00:00:00,26.42,200,5,
1954-09-18 00:00:00,0,200,5,
1954-09-19 00:00:00,0.51,200,5,
1954-09-20 00:00:00,2.29,200,5,
1954-09-25 00:00:00,0,200,5,
1954-09-26 00:00:00,0.25,200,5,
1954-10-03 00:00:00,0,200,5,
1954-10-07 00:00:00,0,200,5,
1954-10-08 00:00:00,1.27,200,5,
1954-10-09 00:00:00,0,200,5,
1954-10-10 00:00:00,3.56,200,5,
1954-10-11 00:00:00,2.54,200,5,
1954-10-12 00:00:00,0,200,5,
1954-10-13 00:00:00,4.57,200,5,
1954-10-14 00:00:00,19.05,200,5,
1954-10-15 00:00:00,0.76,200,5,
1954-10-21 00:00:00,0,200,5,
1954-10-22 00:00:00,3.3,200,5,
1954-10-25 00:00:00,0,200,5,
1954-10-26 00:00:00,14.22,200,5,
1954-10-27 00:00:00,7.87,200,5,
1954-11-03 00:00:00,0,200,5,
1954-11-07 00:00:00,0,200,5,
1954-11-08 00:00:00,2.03,200,5,
1954-11-09 00:00:00,0.51,200,5,
1954-11-13 00:00:00,0,200,5,
1954-11-14 00:00:00,0.25,200,5,
1954-11-15 00:00:00,0,200,5,
1954-11-16 00:00:00,0.25,200,5,
1954-11-17 00:00:00,1.27,200,5,
1954-11-18 00:00:00,8.13,200,5,
1954-11-19 00:00:00,1.52,200,5,
1954-11-22 00:00:00,0,200,5,
1954-11-23 00:00:00,0.51,200,5,
1954-11-25 00:00:00,0,200,5,
1954-11-26 00:00:00,18.54,200,5,
1954-11-27 00:00:00,1.78,200,5,
1954-11-28 00:00:00,0.51,200,5,
1954-12-05 00:00:00,0,200,5,
1954-12-09 00:00:00,0,200,5,
1954-12-10 00:00:00,8.13,200,5,
1954-12-11 00:00:00,8.38,200,5,
1954-12-12 00:00:00,29.97,200,5,
1954-12-13 00:00:00,3.3,200,5,
1954-12-14 00:00:00,0,200,5,
1954-12-15 00:00:00,1.02,200,5,
1954-12-16 00:00:00,0,200,5,
1954-12-17 00:00:00,1.02,200,5,
1954-12-20 00:00:00,0,200,5,
1954-12-21 00:00:00,60.2,200,5,
1954-12-22 00:00:00,9.14,200,5,
1954-12-23 00:00:00,3.05,200,5,
1954-12-24 00:00:00,14.22,200,5,
1954-12-30 00:00:00,0,200,5,
1954-12-31 00:00:00,2.79,200,5,
1955-01-03 00:00:00,0,200,5,
1955-01-04 00:00:00,1.52,200,5,
1955-01-05 00:00:00,2.54,200,5,
1955-01-06 00:00:00,0.25,200,5,
1955-01-09 00:00:00,0,200,5,
1955-01-10 00:00:00,1.78,200,5,
1955-01-11 00:00:00,2.79,200,5,
1955-01-15 00:00:00,0,200,5,
1955-01-16 00:00:00,1.02,200,5,
1955-01-21 00:00:00,0,200,5,
1955-01-22 00:00:00,2.79,200,5,
1955-01-23 00:00:00,1.78,200,5,
1955-01-27 00:00:00,0,200,5,
1955-01-28 00:00:00,0.51,200,5,
1955-02-04 00:00:00,0,200,5,
1955-02-05 00:00:00,0,200,5,
1955-02-06 00:00:00,131.57,200,5,
1955-02-09 00:00:00,0,200,5,
1955-02-10 00:00:00,1.02,200,5,
1955-02-11 00:00:00,10.67,200,5,
1955-02-12 00:00:00,0,200,5,
1955-02-13 00:00:00,1.02,200,5,
1955-02-16 00:00:00,0,200,5,
1955-02-17 00:00:00,0.25,200,5,
1955-02-18 00:00:00,7.62,200,5,
1955-02-19 00:00:00,6.86,200,5,
1955-02-20 00:00:00,0,200,5,
1955-02-21 00:00:00,0.51,200,5,
1955-02-26 00:00:00,0,200,5,
1955-02-27 00:00:00,0.25,200,5,
1955-02-28 00:00:00,0,200,5,
1955-03-01 00:00:00,1.27,200,5,
1955-03-02 00:00:00,2.79,200,5,
1955-03-03 00:00:00,0.25,200,5,
1955-03-10 00:00:00,0,200,5,
1955-03-11 00:00:00,0,200,5,
1955-03-12 00:00:00,5.33,200,5,
1955-03-13 00:00:00,11.94,200,5,
1955-03-14 00:00:00,4.06,200,5,
1955-03-15 00:00:00,72.64,200,5,
1955-03-16 00:00:00,1.27,200,5,
1955-03-17 00:00:00,0,200,5,
1955-03-18 00:00:00,12.7,200,5,
1955-03-19 00:00:00,14.73,200,5,
1955-03-23 00:00:00,0,200,5,
1955-03-24 00:00:00,0.25,200,5,
1955-03-25 00:00:00,0,200,5,
1955-03-26 00:00:00,6.35,200,5,
1955-03-27 00:00:00,1.52,200,5,
1955-04-03 00:00:00,0,200,5,
1955-04-04 00:00:00,0,200,5,
1955-04-05 00:00:00,2.54,200,5,
1955-04-12 00:00:00,0,200,5,
1955-04-17 00:00:00,0,200,5,
1955-04-18 00:00:00,6.6,200,5,
1955-04-19 00:00:00,5.59,200,5,
1955-04-20 00:00:00,0,200,5,
1955-04-21 00:00:00,10.67,200,5,
1955-04-22 00:00:00,0.25,200,5,
1955-04-23 00:00:00,0.51,200,5,
1955-04-24 00:00:00,0.25,200,5,
1955-04-27 00:00:00,0,200,5,
1955-04-28 00:00:00,16,200,5,
1955-04-29 00:00:00,8.38,200,5,
1955-04-30 00:00:00,4.06,200,5,
1955-05-04 00:00:00,0,200,5,
1955-05-05 00:00:00,0.25,200,5,
1955-05-06 00:00:00,2.54,200,5,
1955-05-08 00:00:00,0,200,5,
1955-05-09 00:00:00,4.06,200,5,
1955-05-14 00:00:00,0,200,5,
1955-05-15 00:00:00,3.05,200,5,
1955-05-16 00:00:00,34.54,200,5,
1955-05-17 00:00:00,2.29,200,5,
1955-05-19 00:00:00,0,200,5,
1955-05-20 00:00:00,5.33,200,5,
1955-05-21 00:00:00,3.3,200,5,
1955-05-22 00:00:00,15.49,200,5,
1955-05-23 00:00:00,7.37,200,5,
1955-05-24 00:00:00,2.03,200,5,
1955-05-25 00:00:00,5.59,200,5,
1955-05-26 00:00:00,0.51,200,5,
1955-05-27 00:00:00,0.25,200,5,
1955-05-30 00:00:00,0,200,5,
1955-05-31 00:00:00,7.11,200,5,
1955-06-01 00:00:00,2.29,200,5,
1955-06-02 00:00:00,14.73,200,5,
1955-06-03 00:00:00,5.84,200,5,
1955-06-04 00:00:00,5.84,200,5,
1955-06-05 00:00:00,11.18,200,5,
1955-06-06 00:00:00,2.03,200,5,
1955-06-07 00:00:00,8.38,200,5,
1955-06-08 00:00:00,0,200,5,
1955-06-09 00:00:00,5.33,200,5,
1955-06-10 00:00:00,1.27,200,5,
1955-06-11 00:00:00,7.37,200,5,
1955-06-12 00:00:00,0,200,5,
1955-06-13 00:00:00,0.51,200,5,
1955-06-14 00:00:00,0.25,200,5,
1955-06-15 00:00:00,17.02,200,5,
1955-06-16 00:00:00,3.05,200,5,
1955-06-17 00:00:00,6.35,200,5,
1955-06-18 00:00:00,4.32,200,5,
1955-06-21 00:00:00,0,200,5,
1955-06-22 00:00:00,11.68,200,5,
1955-06-23 00:00:00,3.81,200,5,
1955-06-24 00:00:00,3.81,200,5,
1955-06-25 00:00:00,1.02,200,5,
1955-06-26 00:00:00,0,200,5,
1955-06-27 00:00:00,1.27,200,5,
1955-06-28 00:00:00,20.57,200,5,
1955-06-30 00:00:00,0,200,5,
1955-07-01 00:00:00,16.76,200,5,
1955-07-02 00:00:00,0.51,200,5,
1955-07-03 00:00:00,1.52,200,5,
1955-07-04 00:00:00,8.38,200,5,
1955-07-05 00:00:00,0.51,200,5,
1955-07-09 00:00:00,0,200,5,
1955-07-10 00:00:00,22.1,200,5,
1955-07-11 00:00:00,0.25,200,5,
1955-07-12 00:00:00,4.32,200,5,
1955-07-13 00:00:00,5.33,200,5,
1955-07-14 00:00:00,2.03,200,5,
1955-07-17 00:00:00,0,200,5,
1955-07-18 00:00:00,16,200,5,
1955-07-19 00:00:00,1.78,200,5,
1955-07-20 00:00:00,1.02,200,5,
1955-07-21 00:00:00,0.25,200,5,
1955-07-22 00:00:00,0,200,5,
1955-07-23 00:00:00,0.51,200,5,
1955-07-29 00:00:00,0,200,5,
1955-07-30 00:00:00,12.7,200,5,
1955-07-31 00:00:00,2.03,200,5,
1955-08-01 00:00:00,14.22,200,5,
1955-08-02 00:00:00,7.87,200,5,
1955-08-03 00:00:00,0.76,200,5,
1955-08-05 00:00:00,0,200,5,
1955-08-06 00:00:00,13.46,200,5,
1955-08-07 00:00:00,6.1,200,5,
1955-08-08 00:00:00,1.52,200,5,
1955-08-09 00:00:00,7.11,200,5,
1955-08-10 00:00:00,3.56,200,5,
1955-08-11 00:00:00,1.02,200,5,
1955-08-12 00:00:00,5.59,200,5,
1955-08-13 00:00:00,3.3,200,5,
1955-08-14 00:00:00,3.3,200,5,
1955-08-15 00:00:00,0.51,200,5,
1955-08-17 00:00:00,0,200,5,
1955-08-18 00:00:00,1.52,200,5,
1955-08-19 00:00:00,1.78,200,5,
1955-08-20 00:00:00,9.91,200,5,
1955-08-21 00:00:00,2.03,200,5,
1955-08-27 00:00:00,0,200,5,
1955-08-28 00:00:00,6.1,200,5,
1955-08-29 00:00:00,0,200,5,
1955-08-30 00:00:00,1.78,200,5,
1955-08-31 00:00:00,0,200,5,
1955-09-01 00:00:00,0.25,200,5,
1955-09-02 00:00:00,4.32,200,5,
1955-09-06 00:00:00,0,200,5,
1955-09-07 00:00:00,0.76,200,5,
1955-09-08 00:00:00,12.19,200,5,
1955-09-09 00:00:00,2.29,200,5,
1955-09-10 00:00:00,0,200,5,
1955-09-11 00:00:00,12.95,200,5,
1955-09-12 00:00:00,5.59,200,5,
1955-09-18 00:00:00,0,200,5,
1955-09-19 00:00:00,1.02,200,5,
1955-09-21 00:00:00,0,200,5,
1955-09-22 00:00:00,35.31,200,5,
1955-09-25 00:00:00,0,200,5,
1955-09-26 00:00:00,24.64,200,5,
1955-09-28 00:00:00,0,200,5,
1955-09-29 00:00:00,0.25,200,5,
1955-10-01 00:00:00,0,200,5,
1955-10-02 00:00:00,10.16,200,5,
1955-10-03 00:00:00,9.14,200,5,
1955-10-04 00:00:00,0.76,200,5,
1955-10-05 00:00:00,31.24,200,5,
1955-10-06 00:00:00,10.67,200,5,
1955-10-07 00:00:00,10.41,200,5,
1955-10-12 00:00:00,0,200,5,
1955-10-13 00:00:00,10.92,200,5,
1955-10-14 00:00:00,35.05,200,5,
1955-10-15 00:00:00,4.83,200,5,
1955-10-16 00:00:00,1.27,200,5,
1955-10-17 00:00:00,1.78,200,5,
1955-10-18 00:00:00,2.79,200,5,
1955-10-19 00:00:00,0.25,200,5,
1955-10-20 00:00:00,5.08,200,5,
1955-10-22 00:00:00,0,200,5,
1955-10-23 00:00:00,5.59,200,5,
1955-10-26 00:00:00,0,200,5,
1955-10-27 00:00:00,1.27,200,5,
1955-10-31 00:00:00,0,200,5,
1955-11-01 00:00:00,0.25,200,5,
1955-11-02 00:00:00,0,200,5,
1955-11-03 00:00:00,3.3,200,5,
1955-11-04 00:00:00,3.56,200,5,
1955-11-10 00:00:00,0,200,5,
1955-11-11 00:00:00,7.37,200,5,
1955-11-17 00:00:00,0,200,5,
1955-11-18 00:00:00,4.06,200,5,
1955-11-19 00:00:00,25.4,200,5,
1955-11-20 00:00:00,25.4,200,5,
1955-11-21 00:00:00,5.33,200,5,
1955-11-22 00:00:00,0,200,5,
1955-11-23 00:00:00,5.33,200,5,
1955-11-24 00:00:00,0,200,5,
1955-11-25 00:00:00,2.54,200,5,
1955-11-26 00:00:00,0,200,5,
1955-11-27 00:00:00,0.76,200,5,
1955-11-28 00:00:00,0,200,5,
1955-11-29 00:00:00,10.67,200,5,
1955-11-30 00:00:00,0.51,200,5,
1955-12-01 00:00:00,2.79,200,5,
1955-12-04 00:00:00,0,200,5,
1955-12-05 00:00:00,0.76,200,5,
1955-12-06 00:00:00,0,200,5,
1955-12-07 00:00:00,45.72,200,5,
1955-12-14 00:00:00,0,200,5,
1955-12-15 00:00:00,2.79,200,5,
1955-12-16 00:00:00,14.48,200,5,
1955-12-17 00:00:00,4.57,200,5,
1955-12-18 00:00:00,7.11,200,5,
1955-12-19 00:00:00,1.27,200,5,
1955-12-25 00:00:00,0,200,5,
1955-12-26 00:00:00,0.51,200,5,
1955-12-27 00:00:00,0,200,5,
1955-12-28 00:00:00,0.76,200,5,
1955-12-31 00:00:00,0,200,5,
1956-01-01 00:00:00,1.02,200,5,
1956-01-02 00:00:00,0,200,5,
1956-01-03 00:00:00,2.79,200,5,
1956-01-05 00:00:00,0,200,5,
1956-01-06 00:00:00,1.78,200,5,
1956-01-07 00:00:00,0,200,5,
1956-01-08 00:00:00,38.1,200,5,
1956-01-09 00:00:00,5.33,200,5,
1956-01-10 00:00:00,1.52,200,5,
1956-01-11 00:00:00,0.76,200,5,
1956-01-12 00:00:00,0.51,200,5,
1956-01-19 00:00:00,0,200,5,
1956-01-26 00:00:00,0,200,5,
1956-01-29 00:00:00,0,200,5,
1956-01-30 00:00:00,8.64,200,5,
1956-01-31 00:00:00,7.87,200,5,
1956-02-02 00:00:00,0,200,5,
1956-02-03 00:00:00,5.59,200,5,
1956-02-04 00:00:00,42.16,200,5,
1956-02-05 00:00:00,34.54,200,5,
1956-02-06 00:00:00,0,200,5,
1956-02-07 00:00:00,1.52,200,5,
1956-02-14 00:00:00,0,200,5,
1956-02-15 00:00:00,0.51,200,5,
1956-02-16 00:00:00,1.78,200,5,
1956-02-17 00:00:00,0,200,5,
1956-02-18 00:00:00,35.56,200,5,
1956-02-19 00:00:00,0.51,200,5,
1956-02-26 00:00:00,0,200,5,
1956-02-27 00:00:00,0,200,5,
1956-02-28 00:00:00,0.51,200,5,
1956-02-29 00:00:00,4.06,200,5,
1956-03-01 00:00:00,5.08,200,5,
1956-03-04 00:00:00,0,200,5,
1956-03-05 00:00:00,0.76,200,5,
1956-03-06 00:00:00,2.03,200,5,
1956-03-10 00:00:00,0,200,5,
1956-03-11 00:00:00,3.56,200,5,
1956-03-12 00:00:00,0,200,5,
1956-03-13 00:00:00,0.76,200,5,
1956-03-18 00:00:00,0,200,5,
1956-03-19 00:00:00,2.29,200,5,
1956-03-20 00:00:00,1.02,200,5,
1956-03-21 00:00:00,0.51,200,5,
1956-03-25 00:00:00,0,200,5,
1956-03-26 00:00:00,9.14,200,5,
1956-03-27 00:00:00,0,200,5,
1956-03-28 00:00:00,0.25,200,5,
1956-03-29 00:00:00,1.02,200,5,
1956-03-30 00:00:00,0,200,5,
1956-03-31 00:00:00,0.25,200,5,
1956-04-01 00:00:00,7.87,200,5,
1956-04-04 00:00:00,0,200,5,
1956-04-05 00:00:00,20.83,200,5,
1956-04-06 00:00:00,14.73,200,5,
1956-04-07 00:00:00,54.86,200,5,
1956-04-08 00:00:00,106.68,200,5,
1956-04-09 00:00:00,7.87,200,5,
1956-04-12 00:00:00,0,200,5,
1956-04-13 00:00:00,1.02,200,5,
1956-04-14 00:00:00,2.54,200,5,
1956-04-15 00:00:00,10.41,200,5,
1956-04-16 00:00:00,4.06,200,5,
1956-04-17 00:00:00,71.88,200,5,
1956-04-18 00:00:00,2.79,200,5,
1956-04-19 00:00:00,0.25,200,5,
1956-04-20 00:00:00,0,200,5,
1956-04-21 00:00:00,28.45,200,5,
1956-04-22 00:00:00,1.78,200,5,
1956-04-23 00:00:00,0,200,5,
1956-04-24 00:00:00,20.57,200,5,
1956-04-25 00:00:00,2.03,200,5,
1956-04-26 00:00:00,6.35,200,5,
1956-04-27 00:00:00,0.25,200,5,
1956-04-28 00:00:00,0.51,200,5,
1956-04-30 00:00:00,0,200,5,
1956-05-01 00:00:00,1.27,200,5,
1956-05-05 00:00:00,0,200,5,
1956-05-06 00:00:00,11.43,200,5,
1956-05-07 00:00:00,0.76,200,5,
1956-05-08 00:00:00,2.29,200,5,
1956-05-09 00:00:00,6.35,200,5,
1956-05-10 00:00:00,1.52,200,5,
1956-05-13 00:00:00,0,200,5,
1956-05-14 00:00:00,10.67,200,5,
1956-05-15 00:00:00,20.32,200,5,
1956-05-20 00:00:00,0,200,5,
1956-05-21 00:00:00,15.75,200,5,
1956-05-22 00:00:00,0,200,5,
1956-05-23 00:00:00,0.76,200,5,
1956-05-24 00:00:00,0.51,200,5,
1956-05-25 00:00:00,0,200,5,
1956-05-26 00:00:00,2.79,200,5,
1956-05-27 00:00:00,11.94,200,5,
1956-05-28 00:00:00,2.29,200,5,
1956-05-29 00:00:00,34.54,200,5,
1956-05-30 00:00:00,11.68,200,5,
1956-05-31 00:00:00,1.78,200,5,
1956-06-01 00:00:00,0.51,200,5,
1956-06-02 00:00:00,7.11,200,5,
1956-06-03 00:00:00,60.71,200,5,
1956-06-04 00:00:00,16.76,200,5,
1956-06-05 00:00:00,0.25,200,5,
1956-06-06 00:00:00,0,200,5,
1956-06-07 00:00:00,5.08,200,5,
1956-06-08 00:00:00,4.83,200,5,
1956-06-09 00:00:00,1.78,200,5,
1956-06-11 00:00:00,0,200,5,
1956-06-12 00:00:00,8.64,200,5,
1956-06-13 00:00:00,4.32,200,5,
1956-06-14 00:00:00,27.18,200,5,
1956-06-15 00:00:00,6.1,200,5,
1956-06-17 00:00:00,0,200,5,
1956-06-18 00:00:00,3.56,200,5,
1956-06-19 00:00:00,13.46,200,5,
1956-06-20 00:00:00,12.95,200,5,
1956-06-21 00:00:00,16,200,5,
1956-06-22 00:00:00,20.83,200,5,
1956-06-23 00:00:00,6.35,200,5,
1956-06-24 00:00:00,0,200,5,
1956-06-25 00:00:00,2.03,200,5,
1956-06-26 00:00:00,0.76,200,5,
1956-06-27 00:00:00,0,200,5,
1956-06-28 00:00:00,18.29,200,5,
1956-06-29 00:00:00,5.08,200,5,
1956-06-30 00:00:00,7.87,200,5,
1956-07-01 00:00:00,3.81,200,5,
1956-07-02 00:00:00,5.84,200,5,
1956-07-03 00:00:00,7.11,200,5,
1956-07-04 00:00:00,2.29,200,5,
1956-07-05 00:00:00,0,200,5,
1956-07-06 00:00:00,11.43,200,5,
1956-07-07 00:00:00,3.56,200,5,
1956-07-09 00:00:00,0,200,5,
1956-07-10 00:00:00,10.41,200,5,
1956-07-11 00:00:00,4.32,200,5,
1956-07-12 00:00:00,0.51,200,5,
1956-07-13 00:00:00,2.54,200,5,
1956-07-14 00:00:00,33.27,200,5,
1956-07-15 00:00:00,3.56,200,5,
1956-07-16 00:00:00,1.27,200,5,
1956-07-20 00:00:00,0,200,5,
1956-07-21 00:00:00,6.86,200,5,
1956-07-22 00:00:00,51.05,200,5,
1956-07-23 00:00:00,0.51,200,5,
1956-07-24 00:00:00,9.4,200,5,
1956-07-25 00:00:00,27.94,200,5,
1956-07-26 00:00:00,3.05,200,5,
1956-07-27 00:00:00,8.38,200,5,
1956-07-28 00:00:00,0.51,200,5,
1956-08-01 00:00:00,0,200,5,
1956-08-02 00:00:00,4.83,200,5,
1956-08-03 00:00:00,8.38,200,5,
1956-08-04 00:00:00,58.42,200,5,
1956-08-05 00:00:00,12.19,200,5,
1956-08-07 00:00:00,0,200,5,
1956-08-08 00:00:00,5.59,200,5,
1956-08-09 00:00:00,1.78,200,5,
1956-08-10 00:00:00,19.3,200,5,
1956-08-11 00:00:00,0,200,5,
1956-08-12 00:00:00,19.3,200,5,
1956-08-13 00:00:00,0.51,200,5,
1956-08-14 00:00:00,4.06,200,5,
1956-08-15 00:00:00,4.83,200,5,
1956-08-16 00:00:00,0,200,5,
1956-08-17 00:00:00,23.88,200,5,
1956-08-18 00:00:00,8.64,200,5,
1956-08-23 00:00:00,0,200,5,
1956-08-24 00:00:00,11.68,200,5,
1956-08-25 00:00:00,2.03,200,5,
1956-08-26 00:00:00,8.13,200,5,
1956-08-27 00:00:00,5.59,200,5,
1956-08-28 00:00:00,6.6,200,5,
1956-08-29 00:00:00,20.32,200,5,
1956-08-30 00:00:00,1.02,200,5,
1956-09-05 00:00:00,0,200,5,
1956-09-06 00:00:00,15.75,200,5,
1956-09-07 00:00:00,0.25,200,5,
1956-09-08 00:00:00,3.56,200,5,
1956-09-11 00:00:00,0,200,5,
1956-09-12 00:00:00,8.38,200,5,
1956-09-13 00:00:00,3.81,200,5,
1956-09-14 00:00:00,10.16,200,5,
1956-09-15 00:00:00,8.13,200,5,
1956-09-17 00:00:00,0,200,5,
1956-09-18 00:00:00,1.52,200,5,
1956-09-25 00:00:00,0,200,5,
1956-09-26 00:00:00,30.48,200,5,
1956-09-27 00:00:00,0,200,5,
1956-09-28 00:00:00,47.5,200,5,
1956-09-29 00:00:00,14.73,200,5,
1956-09-30 00:00:00,9.4,200,5,
1956-10-01 00:00:00,11.94,200,5,
1956-10-02 00:00:00,14.22,200,5,
1956-10-03 00:00:00,15.75,200,5,
1956-10-04 00:00:00,8.13,200,5,
1956-10-05 00:00:00,0.51,200,5,
1956-10-06 00:00:00,18.29,200,5,
1956-10-07 00:00:00,1.02,200,5,
1956-10-08 00:00:00,0,200,5,
1956-10-09 00:00:00,3.3,200,5,
1956-10-10 00:00:00,30.48,200,5,
1956-10-11 00:00:00,7.11,200,5,
1956-10-12 00:00:00,0,200,5,
1956-10-13 00:00:00,1.78,200,5,
1956-10-14 00:00:00,12.19,200,5,
1956-10-20 00:00:00,0,200,5,
1956-10-21 00:00:00,1.27,200,5,
1956-10-22 00:00:00,0,200,5,
1956-10-23 00:00:00,10.67,200,5,
1956-10-24 00:00:00,0,200,5,
1956-10-25 00:00:00,0.76,200,5,
1956-10-26 00:00:00,0,200,5,
1956-10-27 00:00:00,1.27,200,5,
1956-10-29 00:00:00,0,200,5,
1956-10-30 00:00:00,16.76,200,5,
1956-10-31 00:00:00,0,200,5,
1956-11-01 00:00:00,17.02,200,5,
1956-11-02 00:00:00,12.45,200,5,
1956-11-04 00:00:00,0,200,5,
1956-11-05 00:00:00,4.32,200,5,
1956-11-06 00:00:00,8.64,200,5,
1956-11-07 00:00:00,2.29,200,5,
1956-11-08 00:00:00,0.76,200,5,
1956-11-09 00:00:00,0,200,5,
1956-11-10 00:00:00,6.86,200,5,
1956-11-11 00:00:00,7.87,200,5,
1956-11-12 00:00:00,0,200,5,
1956-11-13 00:00:00,11.43,200,5,
1956-11-17 00:00:00,0,200,5,
1956-11-18 00:00:00,0.51,200,5,
1956-11-20 00:00:00,0,200,5,
1956-11-21 00:00:00,0.25,200,5,
1956-11-23 00:00:00,0,200,5,
1956-11-24 00:00:00,0.76,200,5,
1956-11-25 00:00:00,3.05,200,5,
